Condition,Medicine,Dosage,Precautions
Cold,Citracin,500mg every 6 hours,Avoid cold beverages; rest is recommended
Fever,Dolo,500mg every 4-6 hours,Stay hydrated; avoid overuse
Cough,Benadryl,10-20ml every 6-8 hours,Avoid driving; may cause drowsiness
Headache,Crocin,500mg every 6-8 hours,Avoid alcohol; do not exceed daily limit
Body Pain,Combiflam,1 tablet every 8-12 hours,Take after meals; avoid overuse
Allergies,Cetrizine,10mg once daily,May cause drowsiness; avoid allergens
Acidity,Rantac,150mg twice daily,Avoid spicy food and alcohol
Diarrhea,ORS,1 sachet in 1 liter of water,Drink plenty of fluids; avoid oily food
Constipation,Dulcolax,5-10mg once daily,Stay hydrated; avoid overuse
Nausea,Domstal,10mg before meals,Avoid heavy meals; take as directed
Infection,Amoxicillin,500mg every 8 hours,Complete full course; avoid skipping doses
Asthma,Ventolin,2 puffs every 4-6 hours,Use spacer if needed; avoid triggers
Hypertension,Amlodipine,5-10mg once daily,Monitor blood pressure; avoid excess salt
Diabetes,Metformin,500mg twice daily,Monitor blood sugar; avoid alcohol
Anemia,Ferrous Sulfate,1 tablet daily,Take with vitamin C; avoid tea or coffee
Thyroid Disorder,Thyronorm,As prescribed,Avoid taking with calcium or iron
Skin Infection,Betnovate,Apply thin layer twice daily,Avoid broken skin; wash hands after use
Migraine,Sumatriptan,50-100mg as needed,Avoid alcohol; take at onset of symptoms
Muscle Pain,Volini,Apply to affected area 3-4 times daily,Avoid open wounds; wash hands after use
Ear Pain,Otogesic,2-3 drops in ear 3 times daily,Avoid if eardrum is perforated
Eye Allergy,Refresh Tears,1-2 drops in each eye,Do not touch dropper tip; avoid allergens
Piles,Anusol,Apply thin layer 2-3 times daily,Maintain hygiene; avoid spicy food
Heartburn,Omeprazole,20mg once daily,Avoid caffeine and spicy food
UTI,Nitrofurantoin,50-100mg 4 times daily,Stay hydrated; complete full course
Insomnia,Zolpidem,5-10mg at bedtime,Avoid alcohol; ensure 7-8 hours of sleep
Depression,Sertraline,50-200mg daily,Avoid alcohol; take at the same time daily
Anxiety,Alprazolam,0.25-0.5mg 2-3 times daily,Take as directed; avoid alcohol
Vitamin Deficiency,Becosules,1 capsule daily,Take after meals; avoid overdose
High Cholesterol,Atorvastatin,10-20mg once daily,Avoid grapefruit; monitor cholesterol levels
Sinusitis,Fluticasone,2 sprays in each nostril once daily,Avoid allergens; use as prescribed
Worm Infestation,Albendazole,400mg once repeat in 2 weeks,Take on an empty stomach; follow dosage
Scabies,Permethrin,Apply thin layer over affected area once,Wash after 8-12 hours; avoid eyes
Acne,Isotretinoin,10-20mg once daily,Avoid sunlight; do not use during pregnancy
Vertigo,Betahistine,8-16mg three times daily,Avoid driving; take after meals
Osteoarthritis,Glucosamine,500mg three times daily,Take with meals; monitor joint pain
Menstrual Pain,Mefenamic Acid,500mg every 8 hours,Take after meals; avoid overuse
Chronic Pain,Tramadol,50-100mg every 4-6 hours,May cause drowsiness; avoid alcohol
Psoriasis,Methotrexate,10-25mg once weekly,Avoid alcohol; monitor liver function
Obesity,Orlistat,120mg three times daily with meals,Avoid fatty foods; follow diet plan
